,id,Город / Район,Микрорайон,Количество комнат,Тип аренды,Количество спальных мест,Общая площадь,Площадь кухни,Санузел,Балкон,Обустройство быта,В ванной,На кухне,Кому сдается,Предоплата,Этаж,Этажность дома,Материал стен,Год постройки,Окна выходят,Обустройство дома,Состояние,Адрес,Стоимость,Жилая площадь,Студия,Ремонт,В новостройке,Метро,Возможен обмен,Товары с Куфар Оплатой,Есть проходная комната,Без мебели,Пешком до ближайшей станции,До ближайшей станции на транспорте
0,116057529,Московский,Малиновка,1,Долгосрочная,4,33 м²,8 м²,Раздельный,Есть,"Телевизор, Мебель, Wi-Fi",Стиральная машина,"Холодильник, Посуда/столовые приборы, Газовая плита","С детьми, Парам, Рабочим, С животными",Нет,3,10,Панельный,1998,На улицу,"Лифт, Мусоропровод, Домофон",Вторичное жилье,"Слободской проезд, 24, Малиновка, Московский район, Минск",300 $ *,,,,,,,,,,,
1,115563865,Советский,Сельхозпоселок,1,Долгосрочная,,42 м²,,Совмещенный,Есть,"Телевизор, Мебель, Wi-Fi","Душевая кабина, Стиральная машина","Холодильник, Электрическая плита",Парам,Месяц,16,25,Каркасно-блочный,2017,Во двор,"Лифт, Пандус, Мусоропровод, Огороженная территория, Домофон, Видеонаблюдение",Новое,"Восточная ул, 41, Минск",400 $ *,35 м²,Да,Евро,Да,,,,,,,
2,116054757,Центральный,,1,Долгосрочная,,,,Совмещенный,Нет,,,,,,5,5,,,,,Вторичное жилье,"Веры Хоружей ул, 46/1, Минск",270 $ *,,,,,,,,,,,
3,116052001,Фрунзенский,Домбровка,1,Долгосрочная,2,33 м²,,Совмещенный,,"Мебель, Телевизор","Стиральная машина, Душевая кабина","Электрическая плита, СВЧ-печь, Холодильник",,Месяц,5,9,Панельный,2010,,"Лифт, Домофон",Новое,"Всеволода Игнатовского ул, 12, Минск",300 $ *,,,Дизайнерский,,,,,,,,
4,116049405,Первомайский,,1,Долгосрочная,2,34 м²,8 м²,Раздельный,Лоджия,"Wi-Fi, Мебель",Стиральная машина,"Газовая плита, Холодильник","С детьми, Рабочим, Парам",Месяц,8,9,Панельный,1991,В парк,"Лифт, Мусоропровод, Парковка крытая, Домофон, Видеонаблюдение",Вторичное жилье,"Филимонова ул, 39, Минск",300 $ *,17 м²,,Евро,,Московская,,,,,,
5,115885032,Московский,Юго-Запад,1,Долгосрочная,,,,Раздельный,Есть,"Wi-Fi, Мебель, Телефон, Утюг",Стиральная машина,"Холодильник, СВЧ-печь, Посуда/столовые приборы, Электрическая плита","Студентам, Рабочим",Месяц,8,24,Каркасно-блочный,,,,Вторичное жилье,"Газеты Правда пр, 17, Минск",300 $ *,,,Косметический,,Петровщина,,,,,,
6,116043206,Заводской,Ангарская,1,Долгосрочная,3,43 м²,13 м²,Раздельный,Нет,"Телефон, Мебель, Wi-Fi","Стиральная машина, Душевая кабина","Холодильник, Электрическая плита","Рабочим, Парам",Месяц,1,2,Блочный,2016,Во двор,Огороженная территория,Новое,"Нестерова ул, Минск",240 $ *,20 м²,,Косметический,,,,,,,,
7,116043000,Партизанский,Дражня,1,Долгосрочная,3,34 м²,10 м²,Раздельный,Нет,"Утюг, Телефон, Мебель, Телевизор, Wi-Fi",Стиральная машина,"СВЧ-печь, Холодильник",,Месяц,,,,2016,Во двор,Лифт,Новое,"Солтыса ул, Минск",350 $ *,,Да,Дизайнерский,Да,,Да,,,,,
8,116036657,Центральный,,1,Долгосрочная,4,47 м²,11 м²,Совмещенный,Лоджия,"Утюг, Кондиционер, Мебель, Телевизор, Wi-Fi","Стиральная машина, Душевая кабина","Электрическая плита, Посуда/столовые приборы, Посудомоечная машина, СВЧ-печь, Холодильник",,Месяц,15,24,Монолитный,2018,В парк,"Лифт, Пандус, Огороженная территория, Парковка крытая, Стояночное место, Видеонаблюдение, Домофон",Новое,"Грибоедова ул, 1, Минск",500 $ *,30 м²,,Евро,,Молодежная,,,,,,
9,112927064,Фрунзенский,Красный Бор,1,Долгосрочная,3,41 м²,9.8 м²,Раздельный,Есть,"Мебель, Wi-Fi",Стиральная машина,"Электрическая плита, СВЧ-печь, Холодильник","Рабочим, Парам, С детьми, С животными",Месяц,9,10,Панельный,2014,"Юг, На улицу","Лифт, Домофон",Вторичное жилье,"Одинцова ул, 54, Минск",320 $ *,31 м²,,Дизайнерский,,Каменная горка,,,,,,
10,115850621,Московский,Юго-Запад,1,Долгосрочная,,45 м²,10 м²,Раздельный,Лоджия,"Wi-Fi, Утюг, Телефон, Мебель, Телевизор",Стиральная машина,"Электрическая плита, Посуда/столовые приборы, СВЧ-печь, Холодильник","Рабочим, Парам, С детьми",Залог,23,25,Монолитный,2011,"Юг, Восток","Лифт, Пандус, Стояночное место, Домофон, Видеонаблюдение",Вторичное жилье,"Дзержинского пр, 84, Минск",380 $ *,40 м²,,Евро,,Петровщина,,,,,,
